statNm,zscode,kind,kindDetail,parkingFree,limitYn,limitDetail,chgerType,useTime,lat,lng,count
남원읍 공영주차장,50130,B0,B001,N,N,,06,24시간 이용가능,33.2788767,126.7213139,1
위미의례회관,50130,A0,A004,N,N,,06,24시간 이용가능,33.289615,126.6576261,1
대정감협 인근 공영주차장,50130,B0,B001,N,N,,06,24시간 이용가능,33.2229383,126.2520224,1
퐁낭 작은 도서관 앞 주차장,50130,B0,B001,N,N,,06,24시간 이용가능,33.2553617,126.5720303,1
월드컵경기장 인근 공영주차장,50130,B0,B001,N,N,,06,24시간 이용가능,33.2475057,126.510693,1
중문 관광단지,50130,D0,D007,N,N,,06,24시간 이용가능,33.2462149,126.414261,5
중앙공영주차장(우리은행 서귀포점 인근 공영주차장),50130,B0,B001,N,N,,06,24시간 이용가능,33.249649,126.5623255,1
서귀포성당 뒤 주차장,50130,B0,B001,N,N,,06,24시간 이용가능,33.2436487,126.5628543,1
국토교통부 인재개발원 앞 주차장,50130,B0,B001,N,N,,06,24시간 이용가능,33.2523361,126.5157793,1
천지연폭포주차장,50130,B0,B001,N,N,,06,24시간 이용가능,33.2447051,126.5597817,2
성산읍 공영주차장,50130,B0,B001,N,N,,06,24시간 이용가능,33.4485209,126.9166899,1
성산일출봉 공영주차장,50130,B0,B001,N,N,,06,24시간 이용가능,33.4619365,126.9355814,2
안덕우체국 뒤 주차장,50130,B0,B004,N,N,,06,24시간 이용가능,33.2460981,126.3348886,1
서귀포시 매일시장 공영주차장,50130,B0,B001,N,N,,06,24시간 이용가능,33.2501492,126.5632261,1
표선민속마을 해비치 해변 공영주차장,50130,B0,B001,N,N,,06,24시간 이용가능,33.3248308,126.8424054,5
표선 의례회관 앞 공영주차장,50130,B0,B001,N,N,,06,24시간 이용가능,33.3270822,126.8234354,1
회수사거리 인근 공영주차장,50130,B0,B001,N,N,,06,24시간 이용가능,33.2632286,126.4426783,1
세화민속오일장 인근 주차장,50110,B0,B001,Y,N,,06,24시간 이용가능,33.524856,126.8568472,1
용암해수산업화지원센터,50110,A0,A004,N,N,,06,24시간 이용가능,33.5423831,126.8121624,1
이호동 주민센터,50110,A0,A002,N,N,,06,24시간 이용가능,33.5000077,126.4580641,1
한국폴리텍대학 제주캠퍼스,50110,J0,J001,N,N,,06,24시간 이용가능,33.4469182,126.561226,1
한라수목원,50110,D0,D007,N,N,,06,24시간 이용가능,33.4690818,126.4908317,1
탐라중학교 공영주차장,50110,B0,B001,N,N,,06,24시간 이용가능,33.4914869,126.5442609,1
아라지구 공영주차장,50110,B0,B001,N,N,,06,24시간 이용가능,33.4701598,126.5466775,2
상가리사무소,50110,A0,A002,N,N,,06,24시간 이용가능,33.4497188,126.3457119,1
제주시 민속오일시장 6주차장,50110,B0,B001,Y,N,,06,24시간 이용가능,33.4965694,126.4738058,1
외도구획정리지구 공영주차장,50110,B0,B001,N,N,,06,24시간 이용가능,33.4899205,126.4325935,1
삼성혈 인근 공영주차장,50110,B0,B001,N,N,,06,24시간 이용가능,33.5045526,126.5305231,1
이도주민센터,50110,A0,A002,N,N,,06,24시간 이용가능,33.5068398,126.5271784,1
모로왓 제1 공영주차장,50110,B0,B001,Y,N,,06,24시간 이용가능,33.5103385,126.544115,1
제주시 상하수도본부,50110,A0,A004,N,N,,06,24시간 이용가능,33.4997499,126.6496365,1
하귀1지구 공영주차장,50110,B0,B001,N,N,,06,24시간 이용가능,33.4855867,126.414308,1
한경도서관 앞 주차장,50110,I0,I005,N,N,,06,24시간 이용가능,33.3500436,126.184563,1
한림공원 인근 공영주차장,50110,B0,B001,N,N,,06,24시간 이용가능,33.3904865,126.2380097,1
한림읍체육관 주차장,50110,A0,A004,N,N,,06,24시간 이용가능,33.4092691,126.2695843,3
화북동주민센터,50110,A0,A002,N,N,,06,24시간 이용가능,33.5198336,126.5657078,1
호텔시리우스,50110,E0,E003,Y,N,,06,24시간 이용가능,33.493426,126.490957,1
㈜행운식품,50110,E0,E006,Y,N,,06,24시간 이용가능,33.536916,126.669926,1
봄그리고가을리조트,50130,E0,E003,Y,N,,06,24시간 이용가능,33.474152,126.91107,1
클럽다인리조트,50110,E0,E003,Y,N,,06,24시간 이용가능,33.471151,126.351032,1
롯데마트 제주점,50110,E0,E001,Y,N,,06,10:00~23:00,33.482377,126.481771,1
제주공항,50110,A0,A003,Y,N,,06,24시간 이용가능,33.505395,126.495111,10
성산항 공영주차장,50130,B0,B001,Y,N,,06,24시간 이용가능,33.4726789,126.9322508,6
성산항 공영주차장,50130,B0,B001,Y,N,,04,24시간 이용가능,33.4726789,126.9322508,6
대정문화체육센터,50130,A0,A004,Y,N,,06,24시간 이용가능,33.2637648,126.2359856,3
대정문화체육센터,50130,A0,A004,Y,N,,04,24시간 이용가능,33.2637648,126.2359856,3
남원읍동부보건소,50130,A0,A004,Y,N,,06,24시간 이용가능,33.275783,126.703417,1
돈내코야영장,50130,D0,D007,Y,N,,06,24시간 이용가능,33.300321,126.584802,1
안덕면사무소,50130,A0,A002,Y,N,,06,24시간 이용가능,33.257546,126.330743,4
제주국제컨벤션센터2,50130,D0,D002,Y,N,,06,24시간 이용가능,33.241630,126.425469,1
구좌체육관,50110,A0,A004,Y,N,,06,24시간 이용가능,33.556184,126.76167,1
제주해녀박물관,50110,D0,D002,Y,N,,06,24시간 이용가능,33.523056,126.862851,4
제주노루생태공원,50110,D0,D001,Y,N,,06,07:00~19:00,33.444446,126.62665,1
별빛누리공원,50110,D0,D001,Y,N,,06,24시간 이용가능,33.445028,126.549252,1
조천체육관,50110,A0,A004,Y,N,,06,24시간 이용가능,33.539725,126.643948,2
삼매봉도서관,50130,A0,A004,Y,N,,06,06:00~24:00,33.24446,126.552233,1
제주영어교육도시사무소,50130,A0,A004,Y,N,,06,24시간 이용가능,33.287371,126.281962,1
효돈동주민센터,50130,A0,A002,Y,N,,06,24시간 이용가능,33.26323,126.61563,1
봉개동공영주차장,50110,B0,B001,Y,N,,06,24시간 이용가능,33.490736,126.595291,1
북촌 너븐숭이4.3 기념관,50110,D0,D002,Y,N,,06,24시간 이용가능,33.545812,126.688761,1
제주현대미술관,50110,D0,D002,Y,N,,06,24시간 이용가능,33.338358,126.265658,2
협재해수욕장,50110,D0,D007,Y,N,,06,24시간 이용가능,33.390701,126.237628,1
대륜동주민센터,50130,A0,A002,Y,N,,06,24시간 이용가능,33.24813,126.51153,1
메밀가공시설,50130,D0,D002,N,N,,04,월~금09:00~19:00,33.328104,126.379729,2
제스코 서귀포점,50130,E0,E001,N,N,,04,월~금09:00~19:00,33.262444,126.595899,2
서귀포농업기술센터,50130,A0,A004,N,N,,04,월~금09:00~19:00,33.288054,126.607012,3
서귀포쓰레기위생매립장,50130,A0,A004,Y,N,,06,월~금09:00~19:00,33.307043,126.419086,2
안덕면사무소,50130,A0,A002,Y,N,,04,24시간 이용가능,33.257492,126.330668,4
제주추사관,50130,D0,D009,Y,N,,04,24시간 이용가능,33.249949,126.278264,3
하효마을다목적회관,50130,I0,I006,Y,N,,04,24시간 이용가능,33.258481,126.617699,2
중앙공영주차장,50130,B0,B001,N,N,,04,24시간 이용가능,33.249934,126.562129,2
선흘리 낙선동4.3 유적지,50110,D0,D009,Y,N,,04,24시간 이용가능,33.515459,126.693662,2
애월읍사무소,50110,A0,A002,Y,N,,04,24시간 이용가능,33.462511,126.32973,3
한국교통안전공단제주자동차검사소,50110,A0,A003,N,N,,06,"08:00~13:00(일,공휴일미개방)",33.514325,126.589355,2
제주도립미술관,50110,D0,D002,Y,N,,04,24시간 이용가능,33.453067,126.488257,2
조천읍사무소,50110,A0,A002,Y,N,,04,24시간 이용가능,33.534508,126.634244,3
일출랜드,50130,D0,D007,Y,N,,04,09:00~18:00,33.381622,126.84219,2
제주항일기념관,50110,D0,D002,N,N,,04,"09:00~19:00(토,일 미개방)",33.541106,126.643424,2
양지(추모)공원,50110,D0,D001,N,N,,04,"09:00~19:00(토,일 미개방)",33.43966,126.579013,2
홍로공영주차장,50130,B0,B001,Y,N,,06,24시간 이용가능,33.255903,126.560992,4
홍로공영주차장,50130,B0,B001,Y,N,,04,24시간 이용가능,33.255903,126.560992,4
돌문화공원,50110,D0,D001,Y,N,,06,24시간 이용가능,33.446122,126.664039,3
돌문화공원,50110,D0,D001,Y,N,,04,24시간 이용가능,33.446122,126.664039,3
사려니숲길 주차장,50110,B0,B002,Y,N,,06,24시간 이용가능,33.434197,126.637593,3
사려니숲길 주차장,50110,B0,B002,Y,N,,04,24시간 이용가능,33.434197,126.637593,3
제스코마트,50110,E0,E001,Y,N,,06,24시간 이용가능,33.480929,126.529513,3
제스코마트,50110,E0,E001,Y,N,,04,24시간 이용가능,33.480929,126.529513,3
신화역사공원 조성사업,50130,D0,D001,Y,N,,04,24시간 이용가능,33.29715,126.305416,4
서귀포보건소,50130,I0,I003,Y,N,,04,24시간 이용가능,33.253073,126.555591,1
남원119센터,50130,A0,A001,Y,N,,04,24시간 이용가능,33.281416,126.708647,1
홍로공영주차장,50130,B0,B001,N,N,,04,24시간 이용가능,33.255905,126.560863,4
서귀포시 교통행정과(공영버스 차고지),50130,B0,B001,Y,N,,04,24시간 이용가능,33.284338,126.588341,1
국민건강보험공단 서귀포지사,50130,A0,A003,Y,N,,04,24시간 이용가능,33.254949,126.507328,1
용담1동주민센터,50110,A0,A002,Y,N,,04,24시간 이용가능,33.509217,126.513524,2
라마다프라자제주호텔,50110,E0,E003,Y,N,,04,24시간 이용가능,33.518486,126.518645,1
서귀포항 해운항만과 사무실,50130,G0,G004,Y,N,,04,24시간 이용가능,33.239553,126.564491,2
강정크루즈터미널,50130,G0,G004,Y,N,,04,24시간 이용가능,33.229276,126.477424,2
아시아CGI애니메이션센터,50130,J0,J004,Y,N,,04,24시간 이용가능,33.252386,126.56704,2
한국중부발전㈜ 상명풍력발전소,50110,A0,A003,Y,N,,04,"평일 09:00 ~ 18:00, 주말 및 공휴일 이용불가",33.339766,126.29196,2
한국중부발전㈜ 제주화력본부 사택,50110,A0,A003,Y,N,,04,24시간 이용가능,33.527544,126.592481,2
문화예술진흥원,50110,J0,J004,Y,N,,04,24시간 이용가능,33.505176,126.535477,2
제주특별자치도의회,50110,A0,A001,Y,N,,04,24시간 이용가능,33.489975,126.499794,4
제주농업기술센터,50110,A0,A004,Y,N,,04,24시간 이용가능,33.457922,126.4039,3
김녕119지역센터,50110,A0,A001,Y,N,,04,24시간 이용가능,33.554272,126.76293,2
용암해수산업화지원센터 2호관,50110,A0,A003,Y,N,,04,24시간 이용가능,33.541291,126.816172,2
제주특별자치도교육청,50110,A0,A001,Y,N,,04,24시간 이용가능,33.490464,126.497529,3
동녘도서관,50110,I0,I005,Y,N,,04,24시간 이용가능,33.520768,126.854705,2
비자림,50110,D0,D007,Y,N,,04,24시간 이용가능,33.491586,126.811214,2
월드컵경기장,50130,J0,J007,Y,N,,04,24시간 이용가능,33.246551,126.5071,4
제주4.3평화재단 공원,50110,D0,D001,Y,N,,04,24시간 이용가능,33.450197,126.621615,4
제주국제대학교,50110,J0,J001,Y,N,,04,24시간 이용가능,33.44059,126.572195,4
웅전공영주차장,50110,B0,B001,N,N,,04,24시간 이용가능,33.48271691,126.47184937,4
수덕공영주차장,50110,B0,B001,N,N,,04,24시간 이용가능,33.48346416,126.47424822,2
용두암 공영주차장,50110,B0,B001,N,N,,04,24시간 이용가능,33.51478249,126.51153269,1
제주시 민속오일시장 주차타워,50110,B0,B001,Y,N,,04,24시간 이용가능,33.4963490,126.4764920,2
외도119센터,50110,A0,A003,Y,N,,04,24시간 이용가능,33.486439,126.437740,2
조천도서관,50110,A0,A003,Y,N,,04,24시간 이용가능,33.537823,126.667909,3
한경면(청수리)청수마을회관,50110,A0,A004,Y,N,,04,24시간 이용가능,33.317755,126.247556,2
성읍119지역센터,50130,A0,A004,Y,N,,04,24시간 이용가능,33.3833939,126.7946568,1
신흥2리 리사무소,50130,A0,A004,Y,N,,04,24시간 이용가능,33.32126210,126.7455930,1
영락리사무소,50130,A0,A002,Y,N,,04,24시간 이용가능,33.25824940,126.21086170,1
산양리 다목적회관,50110,A0,A004,Y,N,,04,24시간 이용가능,33.2927,126.2341,1
도로 주차장,50110,B0,B001,Y,N,,04,24시간 이용가능,33.3498,126.3051,1
경제통상진흥원,50110,A0,A004,Y,N,,04,24시간 이용가능,33.49918040,126.54017670,1
한림항 주차장,50110,B0,B001,Y,N,,04,24시간 이용가능,33.4104,126.2584,1
도순마을회관,50130,A0,A004,Y,N,,04,24시간 이용가능,33.2506333,126.4752385,2
성산국민체육센터,50130,A0,A004,Y,N,,04,24시간 이용가능,33.4572661,126.9166502,2
제주감귤농협유통사업단(2유통센터),50130,G0,G004,Y,N,,04,24시간 이용가능,33.31316210,126.74337470,2
하례2리 마을회,50130,A0,A004,Y,N,,04,24시간 이용가능,33.29716000,126.60891920,2
제주동부하수처리장,50110,A0,A004,Y,N,,04,24시간 이용가능,33.56238030,126.77819280,2
항일기념관,50110,D0,D005,Y,N,,04,24시간 이용가능,33.5412329,126.6433159,2
한국산업인력공단 제주지사,50110,A0,A003,Y,N,,04,24시간 이용가능,33.487857,126.5199165,2
서부하수처리장,50110,A0,A003,Y,N,,04,24시간 이용가능,33.3721,126.2080,2
애월국민체육센터,50110,A0,A004,Y,N,,04,24시간 이용가능,33.48546230,126.413714,2
건강쉼터,50110,I0,I003,Y,N,,04,24시간 이용가능,33.3530,126.1858,2
금능해수욕장 주차장,50110,B0,B001,Y,N,,04,24시간 이용가능,33.3908,126.2376,2
소공원 주차장,50110,B0,B002,Y,N,,04,24시간 이용가능,33.4423,126.2896,2
유수암리사무소,50110,A0,A002,Y,N,,04,24시간 이용가능,33.44136770,126.40315580,2
저지 다온빌라 공용주차장,50110,B0,B001,Y,N,,04,24시간 이용가능,33.3376,126.2638,2
제주 청소년수련원 도로변 주차장,50110,B0,B001,Y,N,,04,24시간 이용가능,33.3778,126.2379,2
환경시설관리사무소,50110,A0,A004,Y,N,,04,24시간 이용가능,33.4616109,126.6295205,2
제주특별자치도 농업기술원,50130,A0,A004,Y,N,,04,24시간 이용가능,33.2609,126.4893,4
돈내코유원지 주차장,50130,D0,D007,Y,N,,04,24시간 이용가능,33.3003988,126.5846516,4
한림종합운동장 주차장,50110,A0,A004,Y,N,,04,24시간 이용가능,33.409296,126.269752,4
대륜 공영노외2주차장,50130,B0,B001,Y,N,,04,24시간 이용가능,33.2369029,126.5111702,1
남원 공영노외1주차장,50130,B0,B001,Y,N,,04,24시간 이용가능,33.2799482,126.7185876,3
중문119센터,50130,A0,A003,Y,N,,04,24시간 이용가능,33.252077,126.4222026,1
